Steps,Policy/Entropy,Environment/Lesson/lessonID,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Episode Length,Is Training
51800,-3.507174,0.0,70.466896,-0.17620824,6.658226013183594,6.658226013183594,0.0,49.0,1.0
51900,-3.7598345,0.0,154.9996,-0.14932236,47.36711931228638,47.36711931228638,0.0,49.0,1.0
52000,-3.3237286,0.0,59.011013,-0.14580086,-14.355382442474365,-14.355382442474365,0.0,49.0,1.0
52100,-3.82405,0.0,26.065063,-0.2293852,7.351287841796875,7.351287841796875,0.0,49.0,1.0
52200,-4.406098,0.0,-91.95293,-0.24090645,-64.29522323608398,-64.29522323608398,0.0,49.0,1.0
52300,-3.869568,0.0,-79.55891,-0.22549143,-64.57188034057617,-64.57188034057617,0.0,49.0,1.0
52400,-2.53547,0.0,144.09334,-0.14609809,14.297530174255371,14.297530174255371,0.0,49.0,1.0
52500,-4.116425,0.0,34.95182,-0.20155257,12.189327239990234,12.189327239990234,0.0,49.0,1.0
52600,-3.4552908,0.0,76.81602,-0.17589389,19.082963943481445,19.082963943481445,0.0,49.0,1.0
52700,-2.7234352,0.0,-10.653034,-0.19482791,-42.49682331085205,-42.49682331085205,0.0,49.0,1.0
52800,-3.1769514,0.0,108.11172,-0.14950517,20.986207008361816,20.986207008361816,0.0007456570747308433,49.0,1.0
52900,-3.7756987,0.0,83.277405,-0.15421173,7.088598251342773,7.088598251342773,0.004000341519713402,49.0,1.0
53000,-3.4649956,0.0,124.46948,-0.14895616,10.217502117156982,10.217502117156982,0.004049626470077783,49.0,1.0
53100,-4.287317,0.0,82.01092,-0.12335284,-19.957655429840088,-19.957655429840088,0.002426940482109785,49.0,1.0
53200,-3.390132,0.0,-28.648506,-0.15881795,-52.99008083343506,-52.99008083343506,0.0022564263199456036,49.0,1.0
53300,-3.5035233,0.0,139.49509,-0.16432601,30.961456298828125,30.961456298828125,0.004719299729913473,49.0,1.0
53400,-3.438813,0.0,171.46262,-0.15882981,41.62771224975586,41.62771224975586,0.0014224355691112578,49.0,1.0
53500,-3.8577104,0.0,125.7607,-0.16309671,31.56816577911377,31.56816577911377,0.001049067301210016,49.0,1.0
53600,-3.3565485,0.0,22.6147,-0.17563988,5.9252777099609375,5.9252777099609375,0.002259046654216945,49.0,1.0
53700,-3.9374292,0.0,59.429115,-0.20321533,9.355358123779297,9.355358123779297,0.000748537335311994,49.0,1.0
53800,-3.5868652,0.0,16.214989,-0.19250308,-0.23322677612304688,-0.23322677612304688,0.001539850200060755,49.0,1.0
53900,-3.9365876,0.0,186.81259,-0.16071343,83.99007415771484,83.99007415771484,0.004038937157019973,49.0,1.0
54000,-4.4855947,0.0,-151.65955,-0.17958699,-96.35716247558594,-96.35716247558594,0.002147606748621911,49.0,1.0
54100,-3.5016203,0.0,142.26013,-0.1758486,11.249918937683105,11.249918937683105,0.0007597074727527797,49.0,1.0
54200,-4.210071,0.0,61.456665,-0.17273235,-18.78125286102295,-18.78125286102295,0.03447628568392247,49.0,1.0
54300,-3.3775454,0.0,-83.99877,-0.13619998,-66.55891990661621,-66.55891990661621,0.0021079393627587706,49.0,1.0
54400,-3.610361,0.0,187.51105,-0.23217683,91.42214965820312,91.42214965820312,0.0012580763141158968,49.0,1.0
54500,-3.3775067,0.0,178.24428,-0.1931364,62.50661087036133,62.50661087036133,0.0005793386371806264,49.0,1.0
54600,-3.278911,0.0,174.1969,-0.16111779,45.13932418823242,45.13932418823242,0.004324536814237945,49.0,1.0
54700,-4.017814,0.0,187.84708,-0.19330099,80.18225860595703,80.18225860595703,0.0015971062239259481,49.0,1.0
54800,-3.5440404,0.0,76.05537,-0.2070046,-5.004278182983398,-5.004278182983398,0.0015984223573468626,49.0,1.0
54900,-3.0587945,0.0,23.806023,-0.20329803,-0.08765029907226562,-0.08765029907226562,0.00030031947244424373,49.0,1.0
55000,-2.9732015,0.0,109.21341,-0.14319208,29.438618659973145,29.438618659973145,0.0006618448533117771,49.0,1.0
55100,-4.4201293,0.0,49.746178,-0.20383659,-21.887897491455078,-21.887897491455078,0.0019411944376770407,49.0,1.0
55200,-5.1630573,0.0,-4.681755,-0.16735014,-58.188185691833496,-58.188185691833496,0.0018019748385995626,49.0,1.0
