Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Entropy,Environment/Lesson/lessonID,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Episode Length,Is Training
20600,-68.60478,9.63735,1.3913387,1.0,-1009.7578735351562,-1009.7578735351562,50.0,49.0,1.0
20700,-60.522427,9.835728,1.3913387,1.0,-842.8516235351562,-842.8516235351562,50.0,49.0,1.0
20800,-54.332737,9.841185,1.3913387,1.0,-906.6512451171875,-906.6512451171875,50.0,49.0,1.0
20900,-71.27146,9.635764,1.388497,1.0,-1036.0173950195312,-1036.0173950195312,50.0,49.0,1.0
21000,-94.915924,9.867342,1.3884681,1.0,-1015.3547668457031,-1015.3547668457031,50.0,49.0,1.0
21100,-88.39612,9.89488,1.3884681,1.0,-952.7470703125,-952.7470703125,50.0,49.0,1.0
21200,-79.524124,10.058175,1.3884681,1.0,-1002.2770080566406,-1002.2770080566406,50.0,49.0,1.0
21300,-79.84036,9.900227,1.3884681,1.0,-916.6173706054688,-916.6173706054688,50.0,49.0,1.0
21400,-50.392715,9.068554,1.3884681,1.0,-344.2514953613281,-344.2514953613281,50.0,49.0,1.0
21500,-77.62821,9.592741,1.3884681,1.0,-870.5525817871094,-870.5525817871094,50.0,49.0,1.0
