Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
5300,0.36515254,1.0,19.0,629.03796,-95.41731,-1486.9934509277343,-1486.9934509277343,4.165307474136353,1.0
5400,0.3187236,1.0,19.0,522.1654,-84.59571,-1388.9186157226563,-1388.9186157226563,4.21108045578003,1.0
5500,0.3563115,1.0,19.0,532.65155,-89.136765,-1507.054150390625,-1507.054150390625,3.6731046199798585,1.0
5600,0.2671476,1.0,19.0,494.99103,-83.70506,-1489.817529296875,-1489.817529296875,4.191355037689209,1.0
5700,0.31708536,1.0,19.0,518.66565,-84.002945,-1448.3372314453125,-1448.3372314453125,4.028407621383667,1.0
5800,0.35756114,1.0,19.0,655.96857,-98.76912,-1259.5328674316406,-1259.5328674316406,3.4612633228302,1.0
5900,0.32355812,1.0,19.0,644.0313,-101.06788,-1365.1405639648438,-1365.1405639648438,3.5714327335357665,1.0
6000,0.28984228,1.0,19.0,631.1427,-101.54065,-858.3920593261719,-858.3920593261719,4.2237872123718265,1.0
6100,0.21682112,1.0,19.0,638.65735,-100.85347,-1239.8217346191407,-1239.8217346191407,4.172091960906982,1.0
6200,0.19485694,1.0,19.0,712.9435,-112.10846,-1133.1620239257813,-1133.1620239257813,4.724127340316772,1.0
6300,0.21047615,1.0,19.0,715.7545,-116.2431,-1882.7106201171875,-1882.7106201171875,3.193566608428955,1.0
6400,0.20793575,1.0,19.0,674.9556,-108.81085,-908.9588745117187,-908.9588745117187,3.526597023010254,1.0
6500,0.19315667,1.0,19.0,677.72107,-112.41301,-1527.874285888672,-1527.874285888672,3.3899120330810546,1.0
6600,0.1832529,1.0,19.0,709.3791,-117.01221,-1745.9824096679688,-1745.9824096679688,3.861965465545654,1.0
6700,0.22749603,1.0,19.0,822.73615,-125.560875,-1649.930029296875,-1649.930029296875,7.271451139450074,1.0
6800,0.13551466,1.0,19.0,719.0764,-116.06677,-861.0252197265625,-861.0252197265625,3.8366791248321532,1.0
6900,0.08778323,1.0,19.0,771.97375,-124.46088,-1032.1681701660157,-1032.1681701660157,5.664560413360595,1.0
7000,0.12431711,1.0,19.0,760.9354,-122.62395,-876.1012084960937,-876.1012084960937,4.309871006011963,1.0
7100,0.0389499,1.0,19.0,644.80286,-111.55438,-811.1333709716797,-811.1333709716797,3.8044406890869142,1.0
7200,0.09078015,1.0,19.0,800.3685,-134.68625,-1474.7398986816406,-1474.7398986816406,3.0765233993530274,1.0
7300,0.022380792,1.0,19.0,798.216,-129.70181,-1035.0849395751952,-1035.0849395751952,2.728036379814148,1.0
7400,0.0020699152,1.0,19.0,773.8364,-127.0354,-1298.3222534179688,-1298.3222534179688,3.112072563171387,1.0
7500,0.072444275,1.0,19.0,745.0978,-131.12167,-1017.0981689453125,-1017.0981689453125,2.453166961669922,1.0
7600,0.05228468,1.0,19.0,834.8993,-137.07336,-1429.554345703125,-1429.554345703125,2.894625520706177,1.0
7700,0.021531036,1.0,19.0,813.02277,-146.81598,-1402.5268676757812,-1402.5268676757812,2.9072635650634764,1.0
7800,-0.011177493,1.0,19.0,851.0045,-138.04045,-1005.7590087890625,-1005.7590087890625,5.4276008129119875,1.0
7900,-0.06758934,1.0,19.0,904.44055,-147.82253,-1024.3314331054687,-1024.3314331054687,2.3953173875808718,1.0
8000,-0.11364892,1.0,19.0,804.73126,-136.62947,-1515.001513671875,-1515.001513671875,2.2214619636535646,1.0
8100,-0.055326954,1.0,19.0,924.5049,-144.69206,-1112.8384521484375,-1112.8384521484375,2.280119514465332,1.0
8200,-0.15820055,1.0,19.0,763.88855,-136.17758,-1746.4177001953126,-1746.4177001953126,1.7836873531341553,1.0
8300,-0.12190258,1.0,19.0,831.47003,-136.66121,-973.0817626953125,-973.0817626953125,2.345631170272827,1.0
8400,-0.14353031,1.0,19.0,842.70593,-142.7313,-1489.5470458984375,-1489.5470458984375,2.357830810546875,1.0
8500,-0.22787312,1.0,19.0,997.4232,-153.5163,-1461.7586669921875,-1461.7586669921875,2.0530458450317384,1.0
8600,-0.26493797,1.0,19.0,889.60266,-145.08096,-1207.5225341796875,-1207.5225341796875,1.643415880203247,1.0
8700,-0.21457843,1.0,19.0,935.8234,-151.26111,-827.8515869140625,-827.8515869140625,2.2392516136169434,1.0
8800,-0.23091932,1.0,19.0,849.1205,-143.2775,-891.0218383789063,-891.0218383789063,2.47460732460022,1.0
8900,-0.28911227,1.0,19.0,923.63055,-147.88147,-547.9763732910156,-547.9763732910156,1.913210654258728,1.0
9000,-0.28615838,1.0,19.0,1000.86475,-157.09334,-813.6606384277344,-813.6606384277344,1.7495316982269287,1.0
9100,-0.25963458,1.0,19.0,951.8244,-157.9189,-843.8611083984375,-843.8611083984375,1.7266012907028199,1.0
9200,-0.32064685,1.0,19.0,896.3661,-156.39026,-1004.0769897460938,-1004.0769897460938,1.9435392141342163,1.0
9300,-0.30231008,1.0,19.0,923.12714,-156.59529,-815.0216613769531,-815.0216613769531,1.6408154964447021,1.0
9400,-0.2460842,1.0,19.0,942.6252,-169.90817,-1170.4414306640624,-1170.4414306640624,1.6413853883743286,1.0
9500,-0.1804102,1.0,19.0,1068.6056,-185.32536,-1725.36064453125,-1725.36064453125,1.5999778747558593,1.0
9600,-0.29520917,1.0,19.0,967.5619,-170.68408,-1051.454153060913,-1051.454153060913,1.8034992456436156,1.0
9700,-0.2895417,1.0,19.0,905.3673,-158.4949,-905.7076171875,-905.7076171875,2.441645383834839,1.0
9800,-0.27986032,1.0,19.0,989.3834,-165.03836,-802.5855895996094,-802.5855895996094,1.3747690200805665,1.0
9900,-0.3448402,1.0,19.0,1252.695,-213.08476,-1330.1522338867187,-1330.1522338867187,3.7220032453536986,1.0
10000,-0.39357013,1.0,19.0,1094.4612,-175.62631,-1248.9838134765625,-1248.9838134765625,1.7394349336624146,1.0
10100,-0.39378124,1.0,19.0,967.11536,-174.99931,-1151.6272918701172,-1151.6272918701172,2.841616702079773,1.0
10200,-0.34469974,1.0,19.0,1128.3268,-182.3226,-1127.1245361328124,-1127.1245361328124,1.9980003356933593,1.0
10300,-0.35048074,1.0,19.0,1118.7776,-189.65614,-1393.7130737304688,-1393.7130737304688,1.8775026082992554,1.0
10400,-0.44869986,1.0,19.0,993.9252,-181.31523,-1513.8079193115234,-1513.8079193115234,1.4584122061729432,1.0
10500,-0.2562332,1.0,19.0,1077.6205,-189.61642,-1766.3593017578125,-1766.3593017578125,1.5874531030654908,1.0
10600,-0.32600152,1.0,19.0,947.13086,-172.00642,-937.0132629394532,-937.0132629394532,1.5283128261566161,1.0
10700,-0.37302858,1.0,19.0,1063.0256,-189.59749,-1617.14580078125,-1617.14580078125,1.996519351005554,1.0
10800,-0.48409134,1.0,19.0,1205.8372,-197.87375,-945.7227172851562,-945.7227172851562,1.6958869218826294,1.0
10900,-0.47294548,1.0,19.0,1214.8899,-203.58614,-1408.7115112304687,-1408.7115112304687,1.383718526363373,1.0
11000,-0.35183483,1.0,19.0,1062.7992,-199.6865,-1401.0498657226562,-1401.0498657226562,1.724368691444397,1.0
11100,-0.44194695,1.0,19.0,1053.5132,-192.50471,-1439.770263671875,-1439.770263671875,1.7585480213165283,1.0
11200,-0.37965825,1.0,19.0,947.0858,-186.65683,-889.3989868164062,-889.3989868164062,1.2502366662025453,1.0
11300,-0.53819734,1.0,19.0,1109.0604,-209.09946,-1422.1591491699219,-1422.1591491699219,1.704712986946106,1.0
