Steps,Policy/Entropy,Environment/Lesson/heightMultiplier,Environment/Lesson/noiseEstimatorVariable,Environment/Lesson/noiseScale,Environment/Lesson/noiseOctaves,Environment/Lesson/noisePersistence,Environment/Lesson/noiseLacunarity,Environment/Lesson/noiseSeed,Environment/Lesson/waterLevel,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
2400,0.78962564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-235.42987,1.1605859,-10812.740234375,-10812.740234375,50.0,213.7604,120.46074,68.01372,70.3842,0.9670846,0.0003,915.3361,26.86229,1.0
2500,0.75257516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-238.23991,2.2564268,-11997.5830078125,-11997.5830078125,43.39827919006348,1871.3762,121.40271,894.5174,863.1423,0.9656207,0.0003,1034.6243,27.554203,1.0
2600,0.9328634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-236.03726,3.8035107,-11611.205078125,-11611.205078125,50.0,1996.8594,113.226944,948.94366,944.31494,0.96415293,0.0003,1441.1862,24.730896,1.0
2700,0.9186356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-216.98087,4.365255,-11945.0078125,-11945.0078125,40.43108940124512,1076.3955,113.00481,511.41888,494.94,0.9626813,0.0003,1866.9596,38.49753,1.0
2800,0.96746516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-205.86264,8.053024,-5911.538818359375,-5911.538818359375,47.67458152770996,1660.4456,113.32799,886.1173,684.16394,0.9612052,0.0003,2136.3218,47.118484,1.0
2900,1.0238357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-219.55637,8.908531,-8636.69091796875,-8636.69091796875,42.98781394958496,2187.8286,86.97414,1121.3058,724.83167,0.95972645,0.0003,1079.0865,31.332026,1.0
3000,1.1666849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-137.88843,3.218658,-3175.1676025390625,-3175.1676025390625,40.062448501586914,5040.469,70.34511,2813.7095,2050.016,0.9582483,0.0003,217.77458,7.0449133,1.0
3100,1.3887192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-132.42136,2.2853158,-9080.139404296875,-9080.139404296875,50.0,6134.999,49.25578,3198.7698,2299.726,0.9567703,0.0003,1626.1346,52.73117,1.0
3200,1.4672918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-125.83511,3.966479,-9304.28662109375,-9304.28662109375,46.83929252624512,3599.2004,52.496666,1639.0068,1471.9508,0.95529354,0.0003,2671.3276,61.29284,1.0
3300,1.1521453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-135.9247,5.9311385,-8360.62255859375,-8360.62255859375,36.86875915527344,2183.01,86.49218,921.17175,1017.91095,0.9538229,0.0003,1548.3826,32.71955,1.0
3400,0.793576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-222.39645,9.131837,-12008.07568359375,-12008.07568359375,27.568740844726562,1811.5414,105.272606,813.3551,832.55505,0.9523609,0.0003,239.09036,8.17313,1.0
3500,0.67338324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-223.36603,5.6118097,-8926.65869140625,-8926.65869140625,24.85868740081787,754.41003,99.99902,301.40845,319.65088,0.95091355,0.0003,217.51114,7.2187414,1.0
3600,0.725116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-264.82654,-2.5016868,-12158.0,-12158.0,30.537761688232422,349.86972,108.20026,110.5797,154.54881,0.94948375,0.0003,303.62848,9.9255295,1.0
3700,0.8266813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-214.00427,-3.8625503,-11836.30322265625,-11836.30322265625,25.86361789703369,871.1784,115.31675,364.6071,384.86337,0.948064,0.0003,345.98145,10.284664,1.0
3800,0.8434294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-188.81786,3.7272463,-7039.6591796875,-7039.6591796875,23.538744926452637,1326.686,103.29253,582.9895,636.82007,0.94664097,0.0003,508.65448,14.835634,1.0
3900,0.8814007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-211.00021,8.128883,-8780.10693359375,-8780.10693359375,26.38928508758545,2032.3008,97.94404,995.10156,958.01385,0.94521344,0.0003,559.47076,15.536947,1.0
4000,0.93622375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-201.98991,6.8639097,-10657.67138671875,-10657.67138671875,29.36525058746338,5783.3555,87.98457,3033.5706,2660.935,0.9437844,0.0003,656.7462,21.279352,1.0
4100,0.9057555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-186.70813,4.6387496,-9264.27294921875,-9264.27294921875,29.880159378051758,1758.7855,98.65261,836.64124,729.59753,0.9423545,0.0003,303.9675,12.157125,1.0
4200,0.8638711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-180.81282,3.8992107,-7400.2003173828125,-7400.2003173828125,23.85445213317871,3460.4336,108.481766,1747.2004,1566.2744,0.9409253,0.0003,321.04352,9.600603,1.0
4300,0.82942015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-157.93512,3.6369083,-4268.022216796875,-4268.022216796875,29.41115093231201,4724.7593,70.86952,1972.2637,2220.9387,0.93950117,0.0003,328.36246,13.388667,1.0
4400,0.81609046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-221.6734,2.8805668,-11883.7626953125,-11883.7626953125,38.15261459350586,4747.029,56.035114,2182.3438,2380.863,0.93808776,0.0003,415.01727,13.239861,1.0
4500,0.8623998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-157.12808,0.88286954,-12024.0361328125,-12024.0361328125,30.827564239501953,3795.007,92.181015,1074.2704,1141.2092,0.9366933,0.0003,223.9989,9.449369,1.0
4600,1.07192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-29.671005,0.08636767,-7330.786865234375,-7330.786865234375,32.504228591918945,2251.648,91.48455,372.65414,287.31134,0.9353223,0.0003,103.67944,7.1762147,1.0
4700,1.0270648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-338.46304,3.4092643,-11591.248046875,-11591.248046875,37.597805976867676,1646.1746,97.615005,145.33212,172.73396,0.93394935,0.0003,358.79266,14.141602,1.0
4800,0.97716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-166.73837,3.4496245,-10706.68310546875,-10706.68310546875,25.99618434906006,1007.41327,101.70487,316.65958,321.52448,0.9325657,0.0003,278.4786,10.860481,1.0
4900,1.0023954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-166.33414,4.620811,-10052.27685546875,-10052.27685546875,39.20868492126465,579.07855,100.12325,228.56625,212.11792,0.93117255,0.0003,274.6923,11.487444,1.0
5000,0.9858255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-182.84055,6.350186,-7829.872314453125,-7829.872314453125,44.82455253601074,953.4718,97.97852,468.4196,424.23203,0.9297682,0.0003,1657.9961,42.357426,1.0
5100,1.0041634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.666666666666664,-205.93207,5.635365,-4586.63916015625,-4586.63916015625,40.666666666666664,1310.9471,95.09966,581.94257,613.13007,0.9281711,0.00029999999,1878.9131,43.073257,1.0
5200,0.998464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-181.78511,5.029146,-10079.63330078125,-10079.63330078125,48.90678787231445,579792.0,81.302505,288768.8,290811.03,0.926654,0.0003,1298.2491,35.167915,1.0
5300,0.9575978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-150.85199,8.004791,-9857.744873046875,-9857.744873046875,41.16742706298828,1692.608,82.48894,560.74817,560.1691,0.9252353,0.0003,635.60693,26.440968,1.0
5400,0.98152983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-204.07556,12.421017,-9612.54736328125,-9612.54736328125,44.69102478027344,1899.8191,102.949646,646.5266,597.52655,0.92381847,0.0003,544.6876,21.990917,1.0
5500,0.8853345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-252.66173,9.463178,-10083.3505859375,-10083.3505859375,38.35241508483887,2110.1382,94.08456,616.8578,653.183,0.9224057,0.0003,320.13995,14.492908,1.0
5600,0.8777724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-191.47046,0.1377967,-11312.32080078125,-11312.32080078125,33.20404815673828,1438.2498,97.76664,450.63412,523.41705,0.9209994,0.0003,281.5057,10.86127,1.0
5700,0.8701677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-160.09448,0.058249056,-9943.61279296875,-9943.61279296875,45.27097511291504,1825.6865,109.18959,471.35742,523.6063,0.9195999,0.0003,156.71353,10.318571,1.0
5800,0.87933505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-280.39304,4.0920897,-12122.3671875,-12122.3671875,30.068927764892578,1296.1545,112.15552,405.29977,456.82343,0.9182081,0.0003,118.363846,7.2867174,1.0
5900,0.91006434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-218.57703,5.861883,-10749.54736328125,-10749.54736328125,25.082828521728516,1495.9642,117.678406,670.49945,692.9604,0.9168215,0.0003,104.654785,4.6227813,1.0
6000,0.9200415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-227.10358,6.5289435,-11058.4912109375,-11058.4912109375,33.209163665771484,1376.9115,117.55967,608.49744,666.25214,0.91543704,0.0003,282.43033,12.9867,1.0
6100,0.9556749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-253.67825,6.241871,-11772.35009765625,-11772.35009765625,39.14174747467041,674.558,119.42444,272.40912,339.18976,0.91405314,0.0003,171.10326,8.450859,1.0
6200,0.9563534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-254.8588,5.524194,-11453.3125,-11453.3125,31.66903781890869,520.255,125.89931,241.24063,241.27368,0.9126686,0.0003,65.468346,6.255538,1.0
