Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Is Training
35500,905.0445,-53.035854,-592.3138760653409,-592.3138760653409,5.074404954910278,-1.1728083,2.0,7.909090909090909,1.0
35600,1027.7997,-51.929806,887.6387044270833,887.6387044270833,4.85808916091919,-1.4605774,2.0,6.066666666666666,1.0
35700,1050.871,-51.233364,-199.07570578835228,-199.07570578835228,4.984174078161066,-0.9924609,2.0,7.818181818181818,1.0
35800,1562.9729,-45.873646,1464.6047037760416,1464.6047037760416,4.336821643511454,-1.2744739,2.0,5.8,1.0
35900,421.4126,-61.163677,-933.8606689453125,-933.8606689453125,4.858786582946777,-1.0053495,2.0,8.9,1.0
36000,2185.0417,-42.79362,73.22998046875,73.22998046875,5.093311746915181,-1.5949695,2.0,7.916666666666667,1.0
36100,1086.9071,-52.17961,-1797.6111653645833,-1797.6111653645833,5.930716196695964,-1.3134971,2.0,9.11111111111111,1.0
36200,217.9157,-56.990295,-3466.8584798177085,-3466.8584798177085,6.108469115363227,-0.8702796,2.0,10.222222222222221,1.0
36300,868.5435,-51.188328,368.41823508522725,368.41823508522725,4.648059996691617,-1.0962019,2.0,8.636363636363637,1.0
36400,544.4631,-55.05697,-2980.7822536892363,-2980.7822536892363,6.345205651389228,-1.3147383,2.0,10.333333333333334,1.0
36500,1586.6179,-46.949,784.0537775213069,784.0537775213069,4.823829109018499,-1.2680247,2.0,7.2727272727272725,1.0
36600,1437.9191,-46.166676,643.3790108816964,643.3790108816964,4.286744764872959,-1.2340835,2.0,6.0,1.0
36700,2521.1184,-38.027367,1262.3058035714287,1262.3058035714287,4.16808785711016,-1.4061737,2.0,6.214285714285714,1.0
36800,-290.7762,-69.56577,-1900.23427734375,-1900.23427734375,5.7251808643341064,-0.958581,2.0,9.3,1.0
36900,1355.7979,-49.553432,549.8154296875,549.8154296875,4.7987483739852905,-1.2170774,2.0,7.25,1.0
37000,945.77625,-57.20153,-1427.4349772135417,-1427.4349772135417,5.764594078063965,-1.397524,2.0,10.666666666666666,1.0
37100,2001.709,-46.125496,-1007.9633544921875,-1007.9633544921875,5.858520793914795,-1.3596275,2.0,8.2,1.0
37200,2554.456,-38.291523,1267.6839881310095,1267.6839881310095,4.2234109548422,-1.4804614,2.0,6.769230769230769,1.0
37300,683.56464,-62.491436,-248.74678548177084,-248.74678548177084,4.790786186854045,-1.5376763,2.0,7.166666666666667,1.0
37400,688.4306,-65.93796,-577.9939297762784,-577.9939297762784,5.029454773122614,-1.5773163,2.0,8.454545454545455,1.0
37500,1641.8517,-55.59778,672.0162071814904,672.0162071814904,4.451683062773484,-1.2398354,2.0,6.769230769230769,1.0
37600,1518.7704,-50.542698,1415.6382587139424,1415.6382587139424,3.8125964128054104,-1.2273923,2.0,7.0,1.0
37700,979.9296,-65.1757,-1112.3443714488637,-1112.3443714488637,4.6190486387773,-1.0985068,2.0,7.2727272727272725,1.0
37800,1486.0254,-63.204037,823.4902907151443,823.4902907151443,4.584041815537673,-1.4632031,2.0,7.6923076923076925,1.0
37900,1466.134,-60.963017,909.2669503348214,909.2669503348214,4.165443301200867,-1.6536635,2.0,5.5,1.0
38000,2297.5225,-49.467983,1785.39296875,1785.39296875,3.7266131083170575,-1.3241537,2.0,5.533333333333333,1.0
38100,161.73991,-74.12576,-956.1529296875,-956.1529296875,5.2465821504592896,-1.1457931,2.0,9.1,1.0
