Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
27500,0.23716487,20.083333333333332,-123.65501,-90.10043,-879.4513744007457,-879.4513744007457,0.0,1.0
28000,0.12792905,18.807692307692307,-215.41542,-89.72876,-880.4782292292668,-880.4782292292668,0.9923726732914264,1.0
28500,-0.00849646,17.0,521.9449,-80.61789,1829.5593035662616,1829.5593035662616,3.523985156306514,1.0
29000,-0.07230205,16.714285714285715,709.76953,-83.48817,2270.13690839495,2270.13690839495,2.3969024462359294,1.0
29500,0.03842384,16.857142857142858,459.70273,-91.20898,942.9311839512417,942.9311839512417,2.2313301925148283,1.0
30000,0.047681555,17.962962962962962,190.31955,-100.86237,281.514476634838,281.514476634838,1.7706819927250896,1.0
30500,-0.0020029512,17.48148148148148,221.35648,-102.232025,548.2972095630787,548.2972095630787,1.7495776922614485,1.0
31000,0.02119999,15.7,719.8254,-96.141136,1536.0641052246094,1536.0641052246094,2.0630503743886948,1.0
31500,-0.019707885,16.857142857142858,818.3467,-95.68293,1184.332728794643,1184.332728794643,2.1354272770030156,1.0
32000,-0.091936864,18.0,239.07251,-106.139114,275.53941462590143,275.53941462590143,2.4581262996563544,1.0
32500,-0.13651486,16.892857142857142,1106.4221,-92.83819,1940.5129939488002,1940.5129939488002,2.1372460073658397,1.0
33000,-0.05383387,18.076923076923077,654.636,-93.1879,832.6011270376353,832.6011270376353,1.7372358303803663,1.0
33500,-0.11064906,18.23076923076923,316.94452,-105.42386,462.1075369027945,462.1075369027945,1.8005086045998793,1.0
34000,-0.075127386,16.785714285714285,626.98834,-104.64693,1467.3084978376116,1467.3084978376116,1.6495948295508112,1.0
34500,-0.10188045,17.444444444444443,1075.1166,-95.66546,2309.4575150101273,2309.4575150101273,1.239551905128691,1.0
35000,-0.18474723,17.74074074074074,201.97191,-117.27934,415.6622585720486,415.6622585720486,1.4923643337355719,1.0
35500,-0.24146359,18.653846153846153,367.43323,-115.92604,855.9425260103666,855.9425260103666,1.617418496654584,1.0
36000,-0.20058869,18.115384615384617,-60.874775,-119.34345,-603.9097806490385,-603.9097806490385,1.6216849266336515,1.0
36500,-0.16603623,16.785714285714285,702.5151,-115.93841,1431.4826932634626,1431.4826932634626,1.5844972591314996,1.0
37000,-0.23708068,14.774193548387096,1344.3625,-108.04905,1937.2332448651714,1937.2332448651714,1.2388576716184616,1.0
37500,-0.28022856,17.88888888888889,464.2344,-119.795425,499.4794108072917,499.4794108072917,1.609294949858277,1.0
38000,-0.22701715,17.14814814814815,921.3559,-109.12668,1350.0514775028935,1350.0514775028935,1.3798774469781805,1.0
38500,-0.20724458,15.8,1223.4188,-115.78362,1887.9566853841145,1887.9566853841145,1.521478605767091,1.0
39000,-0.18109798,16.655172413793103,686.3353,-114.57691,1424.0375702956628,1424.0375702956628,1.603845494574514,1.0
39500,-0.17885327,17.576923076923077,606.1051,-118.737274,645.8091829740084,645.8091829740084,1.931902166742545,1.0
40000,-0.13145152,16.2,843.1191,-121.40676,1257.4168416341147,1257.4168416341147,1.8057226652900378,1.0
40500,-0.09956051,19.166666666666668,653.1531,-112.0048,446.1318359375,446.1318359375,1.3953908359011014,1.0
41000,-0.103695765,16.1,890.4005,-124.71488,1246.3043731689454,1246.3043731689454,1.5635914226373038,1.0
41500,-0.17319633,18.52,38.660892,-117.63504,-737.541416015625,-737.541416015625,1.915281322002411,1.0
42000,-0.06286849,15.64516129032258,1448.8569,-116.13645,2556.7145218387727,2556.7145218387727,1.8711781790179591,1.0
42500,-0.034279715,15.266666666666667,1518.109,-125.58115,2815.6712310791017,2815.6712310791017,1.3178654740254083,1.0
43000,-0.005661813,16.03448275862069,920.92084,-120.660675,1634.149146770609,1634.149146770609,1.1246212566721028,1.0
43500,-0.03001836,15.8,1721.94,-110.38652,2706.407930501302,2706.407930501302,0.9683778926730156,1.0
44000,-0.016884673,16.379310344827587,1631.8395,-110.64232,2179.5682067871094,2179.5682067871094,1.1843897844183033,1.0
44500,0.03666052,16.379310344827587,1478.4753,-124.57587,1994.4478149414062,1994.4478149414062,1.4260622437657982,1.0
45000,-0.0071025006,18.52,933.6697,-116.77271,699.0358386230469,699.0358386230469,1.5234130883216859,1.0
45500,-0.011911904,15.806451612903226,1732.0264,-127.86408,2981.0890729350426,2981.0890729350426,1.1228024671154637,1.0
46000,-0.01565428,18.48,1124.5728,-117.819954,660.9003649902344,660.9003649902344,1.3515468835830688,1.0
46500,-0.010666537,18.53846153846154,690.9909,-132.22702,311.2832380441519,311.2832380441519,1.293219166306349,1.0
47000,-0.08538341,17.185185185185187,1636.3456,-137.51697,2160.018034193251,2160.018034193251,0.8890708806338133,1.0
47500,-0.06708966,15.32258064516129,1689.3877,-126.26346,1970.915771484375,1970.915771484375,1.1103967259968481,1.0
48000,-0.02093449,14.709677419354838,1999.7914,-125.92888,2650.4552120085687,2650.4552120085687,1.036002827267493,1.0
48500,-0.026536085,17.428571428571427,1836.6471,-119.71558,1717.760495867048,1717.760495867048,1.0312210364001138,1.0
49000,0.0010822165,19.12,188.38449,-132.37195,-390.6606689453125,-390.6606689453125,0.8885095012187958,1.0
49500,-0.075819336,14.65625,2715.754,-133.18387,3651.4043254852295,3651.4043254852295,0.6648035580292344,1.0
50000,0.03382598,17.692307692307693,989.03723,-146.92001,693.1930166391226,693.1930166391226,0.6680219053075864,1.0
